timestamp,sensor_id,plant_type,location,temperature_c,soil_moisture,light_level,pump_active
2023-07-01 00:00:00,A-1,Fiddle Leaf Fig,Living Room,15.92,60.06,208.13,0
2023-07-01 01:00:00,A-1,Fiddle Leaf Fig,Living Room,15.93,57.69,338.38,0
2023-07-01 02:00:00,A-1,Fiddle Leaf Fig,Living Room,14.77,51.42,358.03,0
2023-07-01 03:00:00,A-1,Fiddle Leaf Fig,Living Room,14.94,48.53,339.66,0
2023-07-01 04:00:00,A-1,Fiddle Leaf Fig,Living Room,15.22,51.87,469.05,0
2023-07-01 05:00:00,A-1,Fiddle Leaf Fig,Living Room,16.35,45.06,639.27,0
2023-07-01 06:00:00,A-1,Fiddle Leaf Fig,Living Room,17.2,40.35,785.42,0
2023-07-01 07:00:00,A-1,Fiddle Leaf Fig,Living Room,19.63,35.96,974.64,0
2023-07-01 08:00:00,A-1,Fiddle Leaf Fig,Living Room,19.34,39.77,1070.17,0
2023-07-01 09:00:00,A-1,Fiddle Leaf Fig,Living Room,21.38,34.7,1168.31,1
2023-07-01 10:00:00,A-1,Fiddle Leaf Fig,Living Room,22.27,34.94,1321.96,1
2023-07-01 11:00:00,A-1,Fiddle Leaf Fig,Living Room,22.65,,1306.74,0
2023-07-01 12:00:00,A-1,Fiddle Leaf Fig,Living Room,24.62,34.35,1429.34,1
2023-07-01 13:00:00,A-1,Fiddle Leaf Fig,Living Room,25.21,34.55,1324.59,1
2023-07-01 14:00:00,A-1,Fiddle Leaf Fig,Living Room,25.59,33.55,1340.05,1
2023-07-01 15:00:00,A-1,Fiddle Leaf Fig,Living Room,24.98,33.57,1389.23,1
2023-07-01 16:00:00,A-1,Fiddle Leaf Fig,Living Room,26.02,30.66,1223.08,1
2023-07-01 17:00:00,A-1,Fiddle Leaf Fig,Living Room,23.51,36.1,1103.16,0
2023-07-01 18:00:00,A-1,Fiddle Leaf Fig,Living Room,22.23,31.97,985.58,1
2023-07-01 19:00:00,A-1,Fiddle Leaf Fig,Living Room,21.67,39.33,958.58,0
2023-07-01 20:00:00,A-1,Fiddle Leaf Fig,Living Room,20.69,36.88,808.78,0
2023-07-01 21:00:00,A-1,Fiddle Leaf Fig,Living Room,19.04,39.08,730.17,0
2023-07-01 22:00:00,A-1,Fiddle Leaf Fig,Living Room,16.17,41.31,556.95,0
2023-07-01 23:00:00,A-1,Fiddle Leaf Fig,Living Room,16.32,38.92,436.65,0
2023-07-02 00:00:00,A-1,Fiddle Leaf Fig,Living Room,15.66,55.01,131.37,0
2023-07-02 01:00:00,A-1,Fiddle Leaf Fig,Living Room,14.67,55.61,226.46,0
2023-07-02 02:00:00,A-1,Fiddle Leaf Fig,Living Room,14.71,53.9,309.83,0
2023-07-02 03:00:00,A-1,Fiddle Leaf Fig,Living Room,15.17,52.47,387.14,0
2023-07-02 04:00:00,A-1,Fiddle Leaf Fig,Living Room,16.37,44.6,609.29,0
2023-07-02 05:00:00,A-1,Fiddle Leaf Fig,Living Room,16.5,,751.82,0
2023-07-02 06:00:00,A-1,Fiddle Leaf Fig,Living Room,16.72,38.97,803.43,0
2023-07-02 07:00:00,A-1,Fiddle Leaf Fig,Living Room,18.94,38.79,894.35,0
2023-07-02 08:00:00,A-1,Fiddle Leaf Fig,Living Room,20.41,38.27,998.79,0
2023-07-02 09:00:00,A-1,Fiddle Leaf Fig,Living Room,21.95,37.9,1187.09,0
2023-07-02 10:00:00,A-1,Fiddle Leaf Fig,Living Room,22.76,34.69,1283.95,1
2023-07-02 11:00:00,A-1,Fiddle Leaf Fig,Living Room,23.71,,1355.23,0
2023-07-02 12:00:00,A-1,Fiddle Leaf Fig,Living Room,24.42,34.95,1324.11,1
2023-07-02 13:00:00,A-1,Fiddle Leaf Fig,Living Room,25.49,27.8,1362.44,1
2023-07-02 14:00:00,A-1,Fiddle Leaf Fig,Living Room,25.21,28.35,1431.98,1
2023-07-02 15:00:00,A-1,Fiddle Leaf Fig,Living Room,24.9,30.48,1384.51,1
2023-07-02 16:00:00,A-1,Fiddle Leaf Fig,Living Room,25.7,27.59,1273.79,1
2023-07-02 17:00:00,A-1,Fiddle Leaf Fig,Living Room,23.52,32.46,1176.19,1
2023-07-02 18:00:00,A-1,Fiddle Leaf Fig,Living Room,22.44,32.83,1097.35,1
2023-07-02 19:00:00,A-1,Fiddle Leaf Fig,Living Room,21.68,34.4,887.21,1
2023-07-02 20:00:00,A-1,Fiddle Leaf Fig,Living Room,20.32,38.42,888.15,0
2023-07-02 21:00:00,A-1,Fiddle Leaf Fig,Living Room,18.3,40.16,719.36,0
2023-07-02 22:00:00,A-1,Fiddle Leaf Fig,Living Room,17.02,45.1,608.77,0
2023-07-02 23:00:00,A-1,Fiddle Leaf Fig,Living Room,16.16,47.62,427.1,0
2023-07-03 00:00:00,A-1,Fiddle Leaf Fig,Living Room,16.34,58.73,264.45,0
2023-07-03 01:00:00,A-1,Fiddle Leaf Fig,Living Room,15.26,52.95,267.67,0
2023-07-03 02:00:00,A-1,Fiddle Leaf Fig,Living Room,14.11,51.62,348.77,0
